id_contribuinte,cnpj,razao_social,cnae,desc_cnae,porte,regime_tributario,bairro,data_abertura,ativo,risco_latente,email,telefone
1,43.321.819/6001-00,Carvalho - EI,8599-6,Treinamento e capacitação,ME,Simples Nacional,Jardim Rio Branco,2017-11-16,1,2,maria-lizpastor@campos.com,0800-365-8599
2,38.637.940/2654-00,Guerra,4771-7,Comércio farmacêutico,EPP,Simples Nacional,Esplanada dos Barreiros,2023-09-08,1,0,pereirabrenda@caldeira.com.br,(031) 6684-4616
3,61.559.407/8161-00,Macedo,6911-7,Atividades jurídicas,MEI,MEI,Vila Margarida,2022-07-26,1,0,vitorfogaca@casa.gov.br,(031) 1878-0906
4,31.034.131/6475-00,Camargo S/A,4921-3,Transporte rodoviário coletivo,MEI,MEI,Alto da Boa Vista,2025-03-15,1,2,davi51@freitas.com.br,81 6162-3755
5,41.928.327/6483-00,Brito Carvalho Ltda.,6920-6,Atividades contábeis,ME,Simples Nacional,Vila Nova,2024-06-28,1,1,guerraalice@leao.com,+55 41 4521-3895
6,05.641.395/3767-00,Aparecida Ltda.,6202-3,Desenvolvimento de sistemas,MEI,MEI,Ilha Porchat,2020-08-13,1,2,cardosojosue@da.org,(084) 2680 1741
7,88.496.965/3287-00,Peixoto S/A,5611-2,Restaurantes e similares,EPP,Simples Nacional,Jardim Rio Branco,2022-03-08,1,0,limaana-clara@alves.edu.br,31 1865-7999
8,26.916.697/8480-00,Costa Camargo - EI,6202-3,Desenvolvimento de sistemas,MEI,MEI,Japuí,2020-04-22,1,0,eduarda64@pacheco.com.br,+55 (081) 6521-6316
9,51.462.704/8281-00,Cunha Martins e Filhos,8599-6,Treinamento e capacitação,MEI,MEI,Glória,2018-03-19,1,0,henry-gabrielsantos@da.br,51 0678 2609
10,52.880.957/0154-00,Moreira - ME,8650-0,Atividades de saúde humana,ME,Simples Nacional,Japuí,2016-10-12,1,0,sabrinacunha@guerra.com.br,81 5672 4452
11,71.822.782/4896-00,Melo,4330-4,Acabamentos em construção,ME,Simples Nacional,Vila Margarida,2025-03-10,1,0,casa-granderaul@sampaio.edu.br,(011) 1169-3427
12,46.578.713/3150-00,Garcia,5310-5,Atividades dos correios,MEI,MEI,Jardim Rio Branco,2025-01-10,1,0,lavinia38@sousa.br,21 9753-4905
13,10.310.518/3473-00,da Paz - ME,4330-4,Acabamentos em construção,ME,Simples Nacional,Centro,2018-08-18,1,1,jade50@araujo.br,+55 (051) 8265-5049
14,76.311.656/6701-00,Abreu,9311-5,Academias e fitness,MEI,MEI,Catiapoa,2024-03-06,1,0,tsousa@albuquerque.edu.br,+55 (011) 7458-5191
15,33.872.624/7317-00,Silveira Dias - EI,6911-7,Atividades jurídicas,ME,Simples Nacional,Catiapoa,2021-12-22,1,0,pastorkamilly@vargas.net,+55 (031) 1994 6106
16,80.132.677/3602-00,Souza Sá S/A,5310-5,Atividades dos correios,ME,Simples Nacional,Centro,2018-06-13,1,0,maria-vitoria58@da.com,0500-776-3417
17,74.687.234/3098-00,Jesus,7711-0,Locação de automóveis,MEI,MEI,Porto Grande,2025-08-23,1,2,abreumathias@cassiano.net,71 6562 5326
18,97.882.081/2191-00,Jesus,6911-7,Atividades jurídicas,GR,Lucro Real,Centro,2024-02-04,1,1,cecilia19@siqueira.com,+55 (071) 7246 2986
19,93.990.916/9985-00,Lima,4330-4,Acabamentos em construção,MEI,MEI,Vila Margarida,2025-05-18,1,0,nataliaduarte@fernandes.org,(021) 8744 5758
20,46.247.510/7991-00,Pereira,4120-4,Construção de edifícios,EPP,Lucro Presumido,Catiapoa,2019-07-21,1,0,cecilia44@vargas.com.br,71 2125 2716
21,51.354.278/4980-00,Peixoto,4120-4,Construção de edifícios,MEI,MEI,Japuí,2025-04-05,1,0,amandalima@moura.com,0800-490-6471
22,12.411.824/4935-00,Guerra Brito Ltda.,5310-5,Atividades dos correios,MEI,MEI,Porto Grande,2020-06-09,1,2,garciafernanda@siqueira.net,+55 (061) 5906 5423
23,01.640.052/4278-00,Freitas - ME,8630-5,Atividades de atenção à saúde,MEI,MEI,Cidade Nautica,2022-07-02,1,1,moliveira@silva.com.br,+55 21 1776-7474
24,12.805.982/6204-00,Lima S.A.,5310-5,Atividades dos correios,MEI,MEI,Vila Margarida,2024-11-01,1,0,isabella74@novais.com,+55 71 1372 2656
25,31.586.923/2260-00,Casa Grande,6202-3,Desenvolvimento de sistemas,ME,Lucro Presumido,Catiapoa,2018-01-28,1,0,zgomes@vargas.edu.br,+55 21 3417-9142
26,34.216.073/3754-00,Montenegro,6911-7,Atividades jurídicas,GR,Lucro Real,Glória,2025-05-01,1,1,hadassa14@ferreira.com.br,+55 61 8577 9557
27,36.541.458/6850-00,da Rocha Correia S.A.,4330-4,Acabamentos em construção,MD,Lucro Presumido,Centro,2020-02-27,1,2,alice13@viana.com,21 8467-3524
28,40.196.556/9816-00,Camargo Cavalcante S/A,8630-5,Atividades de atenção à saúde,ME,Simples Nacional,Alto da Boa Vista,2022-11-04,1,2,cavalcantimaria-vitoria@pires.net,+55 (021) 8460-7872
29,60.883.561/5951-00,Lopes Rodrigues S.A.,4120-4,Construção de edifícios,MEI,MEI,Centro,2023-01-16,1,0,ana-juliasilva@monteiro.net,41 8358-6068
30,65.648.236/6299-00,Moreira,8650-0,Atividades de saúde humana,MEI,MEI,Vila Nova,2021-03-14,1,0,luiz-felipecamara@marques.net,(084) 8327-7681
31,43.699.577/7387-00,Fogaça - EI,5310-5,Atividades dos correios,ME,Simples Nacional,Cidade Nautica,2020-12-20,1,0,heitordias@nascimento.com,84 6390 4071
32,89.513.433/2003-00,das Neves - ME,5620-1,Serviços de alimentação,EPP,Simples Nacional,Cidade Nautica,2018-05-06,1,0,da-costajulia@barbosa.edu.br,(011) 0398 8111
33,69.367.632/0163-00,Pacheco,4921-3,Transporte rodoviário coletivo,MEI,MEI,Parque Bitaru,2018-02-22,1,0,luiz-henrique90@vasconcelos.com.br,+55 21 9565 2649
34,83.172.788/9579-00,da Conceição,4771-7,Comércio farmacêutico,MEI,MEI,Centro,2021-06-06,1,1,vitor-hugo38@vieira.com,+55 11 0301-8070
35,87.277.434/8734-00,Castro,4771-7,Comércio farmacêutico,MEI,MEI,Ilha Porchat,2024-01-13,1,2,gustavo-henrique97@montenegro.com.br,+55 (081) 9760-0876
36,55.812.236/2316-00,Andrade,8650-0,Atividades de saúde humana,EPP,Simples Nacional,Cidade Nautica,2023-10-05,1,0,erick43@da.com,+55 71 3839-3309
37,03.669.096/7054-00,Silva,5310-5,Atividades dos correios,MEI,MEI,Vila Bocaina,2021-01-23,1,1,almeidaolivia@sousa.com,81 5484 7078
